date,value
2018-02-11,92
2018-02-12,83
2018-02-13,95
2018-02-14,125
2018-02-15,89
2018-02-16,109
2018-02-17,129
2018-02-18,116
2018-02-19,99
2018-02-20,102
2018-02-21,77
2018-02-22,66
2018-02-23,102
2018-02-24,131
2018-02-25,109
2018-02-26,85
2018-02-27,86
2018-02-28,78
2018-03-01,81
2018-03-02,91
2018-03-03,93
2018-03-04,99
2018-03-05,112
2018-03-06,94
2018-03-07,92
2018-03-08,85
2018-03-09,102
2018-03-10,109
2018-03-11,109
2018-03-12,125
2018-03-13,86
2018-03-14,107
2018-03-15,97
2018-03-16,82
2018-03-17,140
2018-03-18,138
2018-03-19,92
2018-03-20,100
2018-03-21,108
2018-03-22,98
2018-03-23,82
2018-03-24,144
2018-03-25,128
2018-03-26,111
2018-03-27,75
2018-03-28,111
2018-03-29,102
2018-03-30,90
2018-03-31,128
